ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"51.83.140.70","elite","AS16276","PL","OVH SAS","94","OVH Sp. z o. o","8181","socks5","4910","1","2024-01-07T11:25:54.415Z","100","5630","5633"
"202.137.141.183","elite","AS9873","LA","Lao Telecommunication Co Ltd","241","Laotelecom","5678","socks4","5004","1","2024-01-07T11:25:54.416Z","97","5338","5524"
"165.227.139.174","elite","AS14061","DE","DigitalOcean, LLC","23","DigitalOcean, LLC","53913","socks5","4501","1","2024-01-07T11:25:54.611Z","100","5524","5531"
"206.189.131.224","elite","AS14061","IN","DigitalOcean, LLC","183","DigitalOcean, LLC","7497","socks5","5000","1","2024-01-07T11:25:54.415Z","32","1743","5500"
"107.173.84.231","elite","AS36352","US","ColoCrossing","197","RackNerd LLC","32124","socks4","4687","2","2024-01-07T11:25:54.413Z","99","5517","5573"
"69.163.166.113","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","19761","socks5","4999","1","2024-01-07T11:25:52.316Z","100","5531","5536"
"50.251.146.121","elite","AS7725","US","Comcast Cable Communications, LLC","181","Comcast Cable Communications, LLC","5678","socks4","4708","1","2024-01-07T11:25:50.009Z","100","5593","5601"
"46.227.37.17","elite","AS51155","PL","Telemedian - TB Telecom","40","Telemedian","1088","socks4","4793","1","2024-01-07T11:25:50.008Z","100","5518","5535"
"172.67.35.15","elite","AS13335","CA","Cloudflare, Inc.","81","Cloudflare, Inc.","80","socks4","5006","1","2024-01-07T11:25:49.714Z","100","5457","5457"
"31.43.179.214","elite","AS209242","KZ","Cloudflare London, LLC","12","\"Betting company PM Bet\" LLC","80","socks4","4298","1","2024-01-07T11:25:49.714Z","100","5474","5474"
"81.162.198.6","elite","AS34955","CZ","Martin Vicenik","32","VicenikRoute","4153","socks4","4000","2","2024-01-07T11:25:49.712Z","100","5494","5506"
"185.140.232.98","elite","AS43395","IR","Pooya Parto Qeshm Cooperative Company","127","Ayandeh","4145","socks4","2005","1","2024-01-07T11:25:49.715Z","87","4832","5553"
"45.79.230.234","elite","AS63949","US","Akamai Technologies, Inc.","193","Linode","443","socks4","5092","1","2024-01-07T11:25:49.713Z","100","5510","5520"
"177.136.182.110","elite","AS263595","BR","ALB Internet & Informatica Ltda - ME","196","ALB Internet & Informatica Ltda - ME","5678","socks4","3993","1","2024-01-07T11:25:47.398Z","100","5521","5548"
"43.239.75.145","elite","AS133443","BD","COL","182","N/A","4145","socks4","417","1","2024-01-07T11:25:47.212Z","98","5370","5482"
"91.122.215.13","elite","AS12389","RU","JSC \"North-West Telecom\"","65","JSC North-West Telecom","4145","socks4","1805","1","2024-01-07T11:25:45.109Z","25","1387","5517"
"193.105.124.46","elite","AS196939","UA","HomeNet ISP","54","Homenet IT LLC","1080","socks5","3009","1","2024-01-07T11:25:45.209Z","98","5399","5524"
"103.53.63.94","elite","AS24554","IN","Five Network Solution India Ltd","184","Hi5 Broadband Pvt Ltd","5678","socks4","4992","89","2024-01-07T11:25:45.109Z","99","5513","5558"
"31.44.82.182","elite","AS29226","RU","JSC Mastertel","48","Mastertel","5678","socks4","4615","2","2024-01-07T11:25:45.106Z","100","5551","5560"
"177.86.201.108","elite","AS52576","BR","Zap Online Ltda","214","Zap Online Ltda","4145","socks5","1692","1","2024-01-07T11:25:42.601Z","97","5278","5467"
"157.185.173.217","elite","AS54994","CA","Meteverse Limited.","255","Meteverse Limited","26589","socks5","4795","1","2024-01-07T11:25:42.603Z","100","5442","5454"
"108.175.24.1","elite","AS33258","US","Computer Solutions","111","Computer Solutions","13135","socks4","1692","1","2024-01-07T11:25:42.598Z","99","5592","5630"
"117.54.201.92","elite","AS9340","ID","PT IndoInternet","194","N/A","5678","socks4","3889","1","2024-01-07T11:25:42.600Z","98","5462","5590"
"149.28.44.246","elite","AS20473","US","The Constant Company","87","Vultr Holdings, LLC","10041","socks4","4802","1","2024-01-07T11:25:42.602Z","77","4211","5490"
"149.20.253.250","elite","AS18615","US","Mainstream Fiber Networks, LLC","101","Mainstream Fiber Networks, LLC","12551","socks4","3506","1","2024-01-07T11:25:42.702Z","100","5402","5414"
"1.0.0.84","elite","AS13335","AU","Cloudflare, Inc","85","APNIC and Cloudflare DNS Resolver project","80","socks4","4394","1","2024-01-07T11:25:42.602Z","100","5571","5572"
"197.245.189.194","elite","AS11845","ZA","Vox Telecom","183","Vox Telecom (Pty) Ltd","5678","socks4","5006","1","2024-01-07T11:25:39.304Z","90","4952","5494"
"113.226.251.10","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","186","N/A","8118","socks4","4287","1","2024-01-07T11:25:39.305Z","71","3876","5470"
"81.12.104.43","elite","AS42337","IR","Respina Networks & Beyond PJSC","88","Respina Networks","3629","socks4","3998","1","2024-01-07T11:25:39.305Z","91","5078","5590"
"197.234.13.56","elite","AS36902","SC","Intelvision","194","Intelvision Ltd","4145","socks4","4900","1","2024-01-07T11:25:36.904Z","99","5502","5535"
"104.20.125.124","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","4587","1","2024-01-07T11:25:36.903Z","100","5573","5574"
"123.146.186.38","elite","AS4837","CN","CNC Group CHINA169 Chongqing Province Network","187","N/A","1080","socks5","4994","1","2024-01-07T11:25:36.905Z","53","2967","5560"
"103.79.96.189","elite","AS64308","ID","PT IndoDev Niaga Internet","181","PT IndoDev Niaga Internet","4153","socks4","4216","2","2024-01-07T11:25:36.904Z","100","5552","5565"
"103.94.133.91","elite","AS136128","ID","PT CITRA AKSES INDONUSA","197","PT CITRA AKSES INDONUSA","4153","socks4","5013","1","2024-01-07T11:25:36.905Z","99","5477","5560"
"104.17.197.90","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","2057","socks5","3503","1","2024-01-07T11:25:36.902Z","100","5402","5402"
"194.8.47.6","elite","AS35723","RU","Transport Telecom Company Ltd","83","Transport Telecom Company Ltd","8080","socks4","1607","1","2024-01-07T11:25:34.717Z","99","5424","5455"
"104.255.170.89","elite","AS397373","US","H4Y Technologies LLC","191","H4Y Technologies LLC","51676","socks4","4592","1","2024-01-07T11:25:34.801Z","100","5622","5632"
"114.219.104.31","elite","AS4134","CN","Chinanet","285","Chinanet JS","10001","socks4","5391","1","2024-01-07T11:25:34.799Z","61","3437","5589"
"82.207.37.180","elite","AS6849","UA","UKRTELECOM","93","JSC Ukrtelecom","4153","socks4","1090","1","2024-01-07T11:25:34.912Z","94","5248","5556"
"14.232.161.29","elite","AS45899","VN","VNPT","205","Vietnam Posts and Telecommunications Group","10801","socks4","4588","2","2024-01-07T11:25:32.598Z","74","4101","5567"
"47.240.226.173","elite","AS45102","HK","Alibaba.com LLC","586","ALICLOUD-HK","1080","socks5","3989","1","2024-01-07T11:25:32.517Z","98","5490","5620"
"46.227.39.2","elite","AS51155","PL","TB Telecom Sp. z o. o.","89","Telemedian","1088","socks4","1988","1","2024-01-07T11:25:32.600Z","100","5421","5438"
"80.78.23.20","elite","AS39287","SE","ab stract","22","ab stract","80","socks4","5103","1","2024-01-07T11:25:30.204Z","94","5258","5605"
"114.141.61.2","elite","AS38772","ID","PT. Smartlink Global Media.","190","N/A","4145","socks4","4796","1","2024-01-07T11:25:30.111Z","98","5465","5577"
"190.61.43.58","elite","AS52468","CO","Ufinet Colombia","196","SOLINGWEB.NET","8080","socks4","4389","1","2024-01-07T11:25:30.112Z","99","5442","5500"
"212.233.164.245","elite","AS29582","BG","internet pools","52","N/A","1080","socks4","4107","1","2024-01-07T11:25:30.205Z","76","4254","5627"
"92.45.51.214","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","62","Telekom19 Telekominikasyon Teknoloji Bilisim Hizmetleri Sanayi VE Ticaret Ltd.","1080","socks4","4602","1","2024-01-07T11:25:27.406Z","100","5592","5601"
"193.107.169.222","elite","AS50648","UA","PE UAinet","93","PE UAinet","5678","socks4","4812","1","2024-01-07T11:25:27.301Z","99","5534","5563"
"94.198.213.252","elite","AS49979","IT","La Wireless","91","N/A","49979","socks5","4799","1","2024-01-07T11:25:27.407Z","100","5558","5578"
"43.134.230.122","elite","AS132203","SG","Aceville Pte.ltd","332","N/A","443","socks4","4205","1","2024-01-07T11:25:27.300Z","90","5006","5566"
"202.159.60.65","elite","AS9340","ID","PT IndoInternet","170","N/A","443","socks4","4499","1","2024-01-07T11:25:27.303Z","100","5524","5546"
"91.135.80.66","elite","AS43513","LV","Sia Nano IT","50","SIA Infonet Sistemas","33427","socks5","4905","1","2024-01-07T11:25:27.406Z","100","5538","5561"
"180.122.144.254","elite","AS4134","CN","Chinanet","298","Chinanet JS","1080","socks4","4801","1","2024-01-07T11:25:27.404Z","82","4492","5466"
"38.127.179.16","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","55994","socks5","5095","1","2024-01-07T11:25:25.117Z","100","5405","5413"
"1.2.187.124","elite","AS23969","TH","TOT Public Company Limited","155","TOT Public Company Limited","4145","socks4","3912","1","2024-01-07T11:25:25.117Z","62","3446","5557"
"184.82.142.201","elite","AS133481","TH","AIS-Fibre","167","N/A","4153","socks4","4302","1","2024-01-07T11:25:25.116Z","93","5112","5478"
"89.43.5.134","elite","AS50810","IR","Mobin Net Communication Company (Private Joint Stock)","192","Mobin Net Communication Company","3629","socks4","4602","1","2024-01-07T11:25:25.100Z","94","5314","5632"
"81.199.14.49","elite","AS36892","GB","IPTEC Limited","199","Gilat Satcom Ltd.","1088","socks4","3014","1","2024-01-07T11:25:25.017Z","99","5506","5571"
"93.171.224.53","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","83","PE TV and Radio Company Kentavr-TV","4153","socks4","4904","1","2024-01-07T11:25:25.101Z","100","5438","5465"
"202.50.203.92","elite","AS55696","ID","PT Starcom Solusindo","217","N/A","48617","socks4","4991","4","2024-01-07T11:25:21.408Z","99","5508","5565"
"140.250.146.239","elite","AS4134","CN","Chinanet","291","Chinanet SD","1080","socks5","4501","4","2024-01-07T11:25:21.410Z","82","4557","5583"
"101.43.191.233","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","169","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks5","4588","1","2024-01-07T11:25:21.798Z","85","4665","5483"
"103.212.93.225","elite","AS138312","IN","Best Telnet Services Private Limited","108","Best telnet services private limited","45639","socks4","4901","2","2024-01-07T11:25:21.802Z","99","5507","5541"
"89.39.100.173","elite","AS8926","MD","Moldtelecom SA","49","JSC Moldtelecom S.A.","31041","socks5","4690","1","2024-01-07T11:25:21.409Z","100","5512","5527"
"169.239.236.101","elite","AS327986","NG","Gutti Global Networks","133","Gutti Global Networks","10801","socks4","5093","1","2024-01-07T11:25:18.711Z","96","5339","5586"
"103.38.205.3","elite","AS45916","IN","gtpl hariom world vision","196","Gtpl Broadband Pvt. Ltd.","45916","socks4","5107","85","2024-01-07T11:25:18.712Z","100","5514","5536"
"150.107.207.137","elite","AS58504","NP","Techminds Network Pvt. Ltd","199","N/A","57230","socks4","4186","1","2024-01-07T11:25:18.714Z","98","5489","5591"
"88.198.165.115","elite","AS24940","DE","Hetzner","99","Astrid Stolper + André Malo GbR","48139","socks5","3907","1","2024-01-07T11:25:18.809Z","92","4985","5414"
"51.38.231.41","elite","AS16276","FR","OVH SAS","6","OVH","80","socks4","1098","1","2024-01-07T11:25:16.106Z","59","3296","5545"
"178.252.199.46","elite","AS24689","RU","CJSC Rosintel","59","JSC \"Rosintel\"","4153","socks4","4095","1","2024-01-07T11:25:16.104Z","99","5484","5541"
"218.1.200.244","elite","AS4812","CN","China Telecom","291","N/A","57114","socks5","4601","1","2024-01-07T11:25:16.109Z","50","2710","5456"
"185.233.202.110","elite","AS200740","NL","First Server Limited","90","Firstbyte Hosting","8088","socks4","5010","1","2024-01-07T11:25:16.109Z","99","5496","5561"
"202.159.6.242","elite","AS9340","ID","PT IndoInternet","190","N/A","5678","socks4","4691","1","2024-01-07T11:25:16.107Z","99","5465","5517"
"134.236.59.240","elite","AS131090","TH","CAT-BB","280","N/A","4145","socks4","5005","1","2024-01-07T11:25:16.108Z","45","2479","5500"
"61.7.138.170","elite","AS131090","TH","CAT Telecom Public Company Limited","189","National Telecom Public Company Limited","5678","socks4","4200","1","2024-01-07T11:25:16.106Z","87","4822","5540"
"103.239.200.226","elite","AS17970","PH","Sky Cable Corporation","234","TRI PH","1337","socks4","4899","1","2024-01-07T11:25:16.105Z","89","4946","5579"
"45.32.131.86","elite","AS20473","US","Choopa","188","Vultr Holdings, LLC","3000","socks5","3597","1","2024-01-07T11:25:13.508Z","60","3276","5446"
"36.67.14.195","elite","AS7713","ID","PT. Telekomunikasi Indonesia","206","N/A","5678","socks4","1995","1","2024-01-07T11:25:13.506Z","78","4347","5549"
"95.217.52.14","elite","AS24940","FI","Hetzner Online GmbH","92","HETZNER-DC","55445","socks5","4805","2","2024-01-07T11:25:13.508Z","100","5526","5528"
"88.87.72.134","elite","AS39435","RU","CJSC \"ER-Telecom Holding\" Volgograd branch","67","JSC \"ER-Telecom Holding\" Volgograd Branch","39435","socks5","4407","2","2024-01-07T11:25:13.505Z","90","4961","5517"
"178.245.152.117","elite","AS16135","TR","Turkcell Internet","509","N/A","3128","socks4","4902","1","2024-01-07T11:25:13.507Z","22","1225","5552"
"134.236.115.147","elite","AS131090","TH","CAT-BB","199","N/A","4145","socks4","4489","1","2024-01-07T11:25:13.507Z","44","2399","5410"
"103.228.246.129","elite","AS59282","ID","PT Giga Patra Multimedia","174","GPM","5678","socks4","4603","84","2024-01-07T11:25:13.506Z","97","5423","5568"
"184.178.172.13","elite","AS22773","US","Cox Communications Inc.","200","Cox Communications Inc.","15311","socks5","1912","1","2024-01-07T11:25:10.818Z","100","5507","5518"
"110.77.197.86","elite","AS131090","TH","CAT-BB","210","N/A","4145","socks4","4998","2","2024-01-07T11:25:10.815Z","73","4026","5498"
"186.251.255.17","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","203","Seanet Telecom Carazinho Eireli","31337","socks4","4498","1","2024-01-07T11:25:10.814Z","99","5493","5525"
"202.159.107.1","elite","AS9340","ID","PT IndoInternet","212","N/A","443","socks4","1411","90","2024-01-07T11:25:10.818Z","100","5519","5533"
"197.234.13.25","elite","AS36902","SC","Intelvision","196","Intelvision Ltd","4145","socks4","4704","1","2024-01-07T11:25:10.816Z","99","5491","5526"
"35.196.18.239","elite","AS15169","US","Google LLC","102","Google Cloud (us-east1)","80","socks5","4389","1","2024-01-07T11:25:08.209Z","100","5544","5546"
"170.238.180.21","elite","AS266331","BR","Global Net Informatica Ltda","232","Global Net Informatica Ltda","4145","socks4","4594","1","2024-01-07T11:25:08.206Z","99","5486","5552"
"91.247.92.63","elite","AS49389","UA","Privately owned enterprise Alexsandrov Yuriy Viktorovich","103","Privately owned enterprise Alexsandrov Yuriy Viktorovich","5678","socks4","3904","1","2024-01-07T11:25:08.204Z","97","5416","5569"
"43.153.90.69","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","180","Tencent Cloud Computing","443","socks5","3707","1","2024-01-07T11:25:08.205Z","71","3942","5518"
"139.59.99.83","elite","AS14061","SG","DIGITALOCEAN","150","DigitalOcean, LLC","80","socks5","4205","1","2024-01-07T11:25:08.202Z","100","5469","5476"
"103.132.54.54","elite","AS138123","ID","PT. ADEAKSA INDO JAYATAMA","199","Dexa","1080","socks4","3208","1","2024-01-07T11:25:08.207Z","99","5432","5473"
"185.121.138.59","elite","AS25369","GB","Hydra Communications Ltd","90","Hydra Communications Ltd","80","socks4","4504","1","2024-01-07T11:25:05.001Z","100","5404","5405"
"5.189.153.171","elite","AS51167","DE","Contabo GmbH","26","Contabo GmbH","51167","socks4","3804","1","2024-01-07T11:25:05.109Z","100","5495","5520"
"31.172.189.205","elite","AS31242","PL","Fibertech Networks Sp. z o.o","103","Fibertech Networks Sp. z o.o.","1080","socks4","4904","1","2024-01-07T11:25:05.112Z","100","5449","5455"
"138.94.92.26","elite","AS264145","BR","FACILNET PROVEDOR E SERVIÇOS EIRELI","281","FACILNET PROVEDOR E SERVIÇOS EIRELI","7497","socks5","5001","1","2024-01-07T11:25:05.000Z","98","5424","5538"
"139.224.117.52","elite","AS37963","CN","Addresses CNNIC","205","Aliyun Computing Co., LTD","2222","socks4","4689","1","2024-01-07T11:25:04.998Z","87","4826","5516"
"100.1.140.55","elite","AS701","US","Verizon Communications","100","MCI Communications Services, Inc. d/b/a Verizon Business","8080","socks4","4901","1","2024-01-07T11:25:04.917Z","100","5492","5494"
"98.111.251.101","elite","AS701","US","Verizon Business","95","Verizon Business","1585","socks4","4903","1","2024-01-07T11:25:02.217Z","99","5407","5479"
"200.0.247.243","elite","AS10834","AR","Telefonica de Argentina","245","Smart S.A","10834","socks4","4092","1","2024-01-07T11:25:02.300Z","83","4646","5577"
"103.47.93.244","elite","AS134058","IN","Broban Internet Services Pvt.ltd","281","Broban  PVT Ltd.","1080","socks4","4590","1","2024-01-07T11:25:02.302Z","99","5507","5541"
"80.87.200.140","elite","AS29182","RU","JSC IOT","48","JSC \"Server\"","9050","socks4","5096","1","2024-01-07T11:25:02.301Z","100","5566","5568"
"43.134.167.51","elite","AS132203","SG","Aceville Pte.ltd","355","N/A","443","socks5","4100","81","2024-01-07T11:25:02.299Z","80","4478","5567"
"95.217.144.183","elite","AS24940","FI","Hetzner Online GmbH","41","HETZNER-DC","44965","socks4","4808","1","2024-01-07T11:24:59.813Z","98","5447","5548"
"79.125.195.102","elite","AS6821","MK","MAKTEL","59","N/A","5678","socks4","4300","1","2024-01-07T11:24:59.707Z","81","4445","5483"
"177.234.212.90","elite","AS52468","EC","Ufinet Panama S.A.","194","N/A","999","socks5","4997","1","2024-01-07T11:24:59.704Z","100","5498","5508"
"180.183.227.96","elite","AS45629","TH","Triple T Broadband Public Company Limited","204","Triple T Broadband Public Company Limited","4153","socks4","2004","1","2024-01-07T11:24:59.703Z","94","5206","5519"
"182.253.247.245","elite","AS17451","ID","BIZNET","192","N/A","4153","socks4","2202","1","2024-01-07T11:24:59.706Z","68","3785","5567"
"185.162.231.254","elite","AS209242","GB","Cloudflare London, LLC","13","Softconstruct Limited","80","socks5","5001","1","2024-01-07T11:24:56.609Z","100","5408","5408"
"45.6.229.227","elite","AS266233","BR","Newmaster Telecom","206","Speed NET Informatica Ltda","4145","socks4","4901","1","2024-01-07T11:24:56.610Z","100","5644","5653"
"187.95.82.109","elite","AS262696","BR","Turbonet Telecomunicações","189","Turbonet Telecomunicações","3629","socks4","3005","1","2024-01-07T11:24:56.612Z","99","5543","5589"
"116.58.232.105","elite","AS131090","TH","CAT Telecom Public Company Limited","303","CAT BB","4145","socks4","4896","1","2024-01-07T11:24:56.608Z","62","3360","5387"
"202.159.19.213","elite","AS9340","ID","PT IndoInternet","203","N/A","443","socks4","4909","1","2024-01-07T11:24:56.611Z","100","5554","5565"
"186.126.2.191","elite","AS7303","AR","Telecom Argentina S.A.","491","Telecom Personal Bs","1080","socks4","4907","1","2024-01-07T11:24:56.611Z","42","2321","5538"
"45.76.144.30","elite","AS20473","SG","The Constant Company","185","Vultr Holdings, LLC","41086","socks4","4498","1","2024-01-07T11:24:53.803Z","90","5019","5597"
"78.186.98.148","elite","AS9121","TR","TurkTelecom","86","N/A","1080","socks4","3806","1","2024-01-07T11:24:53.998Z","94","5160","5480"
"208.91.197.18","elite","AS40034","VG","Confluence Networks Inc","75","Confluence Networks Inc","40034","socks5","3894","1","2024-01-07T11:24:53.805Z","99","5444","5474"
"162.247.243.29","elite","AS54113","US","Fastly, Inc.","2","New Relic","80","socks4","4011","1","2024-01-07T11:24:53.805Z","98","5484","5594"
"217.219.86.250","elite","AS58224","IR","Iran Telecommunication Company PJS","115","Parsdataprocessingco","5678","socks4","5001","1","2024-01-07T11:24:51.101Z","99","5444","5505"
"202.124.46.65","elite","AS9902","KH","NeocomISP Limited","213","NeocomISP Limited","4145","socks4","1511","1","2024-01-07T11:24:51.099Z","99","5497","5563"
"106.75.171.132","elite","AS58466","CN","UCLOUD","212","Shanghai UCloud Information Technology Company Limited","3000","socks5","4701","1","2024-01-07T11:24:51.018Z","84","4679","5592"
"82.117.215.98","elite","AS31042","RS","Serbia BroadBand-Srpske Kablovske mreze d.o.o.","27","SBB Zona Wifi","3629","socks4","4893","1","2024-01-07T11:24:51.213Z","51","2836","5551"
"177.38.5.224","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","294","FÁBIO MENDES DIAS LTDA ME","4153","socks4","3807","1","2024-01-07T11:24:51.099Z","89","4892","5511"
"194.146.110.211","elite","AS29496","UA","Link-Service Ltd.","94","Link-Service Ltd.","8888","socks4","4608","1","2024-01-07T11:24:51.100Z","99","5443","5484"
"5.252.179.222","elite","AS39798","RU","MivoCloud Russia","53","MivoCloud SRL","32109","socks5","4701","1","2024-01-07T11:24:48.908Z","100","5402","5420"
"192.12.113.255","elite","AS61942","BR","Turbonet Telecom Ltda","219","Turbonet Telecom Ltda","4145","socks4","5009","1","2024-01-07T11:24:46.300Z","84","4681","5569"
"112.195.36.157","elite","AS4837","CN","China Unicom CHINA169 Sichuan Province Network","251","N/A","24388","socks4","1188","1","2024-01-07T11:24:46.208Z","57","3163","5570"
"116.199.168.1","elite","AS45661","IN","Capture Network Systems Pvt Ltd","293","CAPTURE","4145","socks4","4911","77","2024-01-07T11:24:46.205Z","99","5543","5582"
